"Reference","Quantity","Value","Footprint","Manufacturer","MPN"
"C2","1","C_10n_50V_X7R_0402","C_0402_1005Metric","KEMET","C0402C103J5RAC"
"C16","1","C_1u_25V_0402","C_0402_1005Metric","Murata","GRM155R61E105KE11J"
"C38","1","C_10n_0603","C_0603_1608Metric","AVX","06031C103JAT2A"
"C39","1","C_Pol_100u_35V_Panasonic-FP-D8-D6.3mm-H7.7mm","C_Pol_Panasonic-D8-D6.3mm-H7.7mm","Panasonic","EEEFPV101XAP"
"R3","1","R_0R_22.4A_0603","R_0603_1608Metric","ROHM Semiconductor","PMR03EZPJ000"
"R11 R12","2","R_0R_0603","R_0603_1608Metric","Bourns","CR0603-J/-000ELF"
"R33 R34 R35 R36 R37 R38 R39 R40 R45","9","R_0R_0402","R_0402_1005Metric","Panasonic","ERJ2GE0R00X"
"R62","1","R_1k_0402","R_0402_1005Metric","Bourns","CR0402-FX-1001GLF"
